nom_standard,nom_sans_pronom,nom_sans_accent,nom_standard_majuscule,reg_nom
La Chapelle-Montmoreau,Chapelle-Montmoreau,la-chapelle-montmoreau,LA CHAPELLE-MONTMOREAU,Nouvelle-Aquitaine
La Chapelle-Saint-Jean,Chapelle-Saint-Jean,la-chapelle-saint-jean,LA CHAPELLE-SAINT-JEAN,Nouvelle-Aquitaine
Chassaignes,Chassaignes,chassaignes,CHASSAIGNES,Nouvelle-Aquitaine
Château-l'Évêque,Château-l'Évêque,chateau-l-eveque,CHÂTEAU-L'ÉVÊQUE,Nouvelle-Aquitaine
Châtres,Châtres,chatres,CHÂTRES,Nouvelle-Aquitaine
Les Coteaux Périgourdins,Coteaux Périgourdins,les-coteaux-perigourdins,LES COTEAUX PÉRIGOURDINS,Nouvelle-Aquitaine
Cherval,Cherval,cherval,CHERVAL,Nouvelle-Aquitaine
Cherveix-Cubas,Cherveix-Cubas,cherveix-cubas,CHERVEIX-CUBAS,Nouvelle-Aquitaine
Chourgnac,Chourgnac,chourgnac,CHOURGNAC,Nouvelle-Aquitaine
Cladech,Cladech,cladech,CLADECH,Nouvelle-Aquitaine
Clermont-de-Beauregard,Clermont-de-Beauregard,clermont-de-beauregard,CLERMONT-DE-BEAUREGARD,Nouvelle-Aquitaine
Clermont-d'Excideuil,Clermont-d'Excideuil,clermont-d-excideuil,CLERMONT-D'EXCIDEUIL,Nouvelle-Aquitaine
Colombier,Colombier,colombier,COLOMBIER,Nouvelle-Aquitaine
Comberanche-et-Épeluche,Comberanche-et-Épeluche,comberanche-et-epeluche,COMBERANCHE-ET-ÉPELUCHE,Nouvelle-Aquitaine
Condat-sur-Trincou,Condat-sur-Trincou,condat-sur-trincou,CONDAT-SUR-TRINCOU,Nouvelle-Aquitaine
Condat-sur-Vézère,Condat-sur-Vézère,condat-sur-vezere,CONDAT-SUR-VÉZÈRE,Nouvelle-Aquitaine
Connezac,Connezac,connezac,CONNEZAC,Nouvelle-Aquitaine
Conne-de-Labarde,Conne-de-Labarde,conne-de-labarde,CONNE-DE-LABARDE,Nouvelle-Aquitaine
La Coquille,Coquille,la-coquille,LA COQUILLE,Nouvelle-Aquitaine
Corgnac-sur-l'Isle,Corgnac-sur-l'Isle,corgnac-sur-l-isle,CORGNAC-SUR-L'ISLE,Nouvelle-Aquitaine
Cornille,Cornille,cornille,CORNILLE,Nouvelle-Aquitaine
Coubjours,Coubjours,coubjours,COUBJOURS,Nouvelle-Aquitaine
Coulaures,Coulaures,coulaures,COULAURES,Nouvelle-Aquitaine
Coulounieix-Chamiers,Coulounieix-Chamiers,coulounieix-chamiers,COULOUNIEIX-CHAMIERS,Nouvelle-Aquitaine
Coursac,Coursac,coursac,COURSAC,Nouvelle-Aquitaine
Cours-de-Pile,Cours-de-Pile,cours-de-pile,COURS-DE-PILE,Nouvelle-Aquitaine
Coutures,Coutures,coutures,COUTURES,Nouvelle-Aquitaine
Coux et Bigaroque-Mouzens,Coux et Bigaroque-Mouzens,coux-et-bigaroque-mouzens,COUX ET BIGAROQUE-MOUZENS,Nouvelle-Aquitaine
Couze-et-Saint-Front,Couze-et-Saint-Front,couze-et-saint-front,COUZE-ET-SAINT-FRONT,Nouvelle-Aquitaine
Creyssac,Creyssac,creyssac,CREYSSAC,Nouvelle-Aquitaine
Creysse,Creysse,creysse,CREYSSE,Nouvelle-Aquitaine
Creyssensac-et-Pissot,Creyssensac-et-Pissot,creyssensac-et-pissot,CREYSSENSAC-ET-PISSOT,Nouvelle-Aquitaine
Cubjac-Auvézère-Val d'Ans,Cubjac-Auvézère-Val d'Ans,cubjac-auvezere-val-d-ans,CUBJAC-AUVÉZÈRE-VAL D'ANS,Nouvelle-Aquitaine
Cunèges,Cunèges,cuneges,CUNÈGES,Nouvelle-Aquitaine
Daglan,Daglan,daglan,DAGLAN,Nouvelle-Aquitaine
Doissat,Doissat,doissat,DOISSAT,Nouvelle-Aquitaine
Domme,Domme,domme,DOMME,Nouvelle-Aquitaine
La Dornac,Dornac,la-dornac,LA DORNAC,Nouvelle-Aquitaine
Douchapt,Douchapt,douchapt,DOUCHAPT,Nouvelle-Aquitaine
Douville,Douville,douville,DOUVILLE,Nouvelle-Aquitaine
La Douze,Douze,la-douze,LA DOUZE,Nouvelle-Aquitaine
Douzillac,Douzillac,douzillac,DOUZILLAC,Nouvelle-Aquitaine
Dussac,Dussac,dussac,DUSSAC,Nouvelle-Aquitaine
Échourgnac,Échourgnac,echourgnac,ÉCHOURGNAC,Nouvelle-Aquitaine
Église-Neuve-de-Vergt,Église-Neuve-de-Vergt,eglise-neuve-de-vergt,ÉGLISE-NEUVE-DE-VERGT,Nouvelle-Aquitaine
Église-Neuve-d'Issac,Église-Neuve-d'Issac,eglise-neuve-d-issac,ÉGLISE-NEUVE-D'ISSAC,Nouvelle-Aquitaine
Escoire,Escoire,escoire,ESCOIRE,Nouvelle-Aquitaine
Étouars,Étouars,etouars,ÉTOUARS,Nouvelle-Aquitaine
Excideuil,Excideuil,excideuil,EXCIDEUIL,Nouvelle-Aquitaine
Eygurande-et-Gardedeuil,Eygurande-et-Gardedeuil,eygurande-et-gardedeuil,EYGURANDE-ET-GARDEDEUIL,Nouvelle-Aquitaine
Eymet,Eymet,eymet,EYMET,Nouvelle-Aquitaine
Plaisance,Plaisance,plaisance,PLAISANCE,Nouvelle-Aquitaine
Eyzerac,Eyzerac,eyzerac,EYZERAC,Nouvelle-Aquitaine
Les Eyzies,Eyzies,les-eyzies,LES EYZIES,Nouvelle-Aquitaine
Fanlac,Fanlac,fanlac,FANLAC,Nouvelle-Aquitaine
Les Farges,Farges,les-farges,LES FARGES,Nouvelle-Aquitaine
Faurilles,Faurilles,faurilles,FAURILLES,Nouvelle-Aquitaine
Faux,Faux,faux,FAUX,Nouvelle-Aquitaine
La Feuillade,Feuillade,la-feuillade,LA FEUILLADE,Nouvelle-Aquitaine
Firbeix,Firbeix,firbeix,FIRBEIX,Nouvelle-Aquitaine
Le Fleix,Fleix,le-fleix,LE FLEIX,Nouvelle-Aquitaine
Fleurac,Fleurac,fleurac,FLEURAC,Nouvelle-Aquitaine
Florimont-Gaumier,Florimont-Gaumier,florimont-gaumier,FLORIMONT-GAUMIER,Nouvelle-Aquitaine
Fonroque,Fonroque,fonroque,FONROQUE,Nouvelle-Aquitaine
Fossemagne,Fossemagne,fossemagne,FOSSEMAGNE,Nouvelle-Aquitaine
Fougueyrolles,Fougueyrolles,fougueyrolles,FOUGUEYROLLES,Nouvelle-Aquitaine
Fouleix,Fouleix,fouleix,FOULEIX,Nouvelle-Aquitaine
Fraisse,Fraisse,fraisse,FRAISSE,Nouvelle-Aquitaine
Gabillou,Gabillou,gabillou,GABILLOU,Nouvelle-Aquitaine
Gageac-et-Rouillac,Gageac-et-Rouillac,gageac-et-rouillac,GAGEAC-ET-ROUILLAC,Nouvelle-Aquitaine
Gardonne,Gardonne,gardonne,GARDONNE,Nouvelle-Aquitaine
Gaugeac,Gaugeac,gaugeac,GAUGEAC,Nouvelle-Aquitaine
Génis,Génis,genis,GÉNIS,Nouvelle-Aquitaine
Ginestet,Ginestet,ginestet,GINESTET,Nouvelle-Aquitaine
Gout-Rossignol,Gout-Rossignol,gout-rossignol,GOUT-ROSSIGNOL,Nouvelle-Aquitaine
Grand-Brassac,Grand-Brassac,grand-brassac,GRAND-BRASSAC,Nouvelle-Aquitaine
Granges-d'Ans,Granges-d'Ans,granges-d-ans,GRANGES-D'ANS,Nouvelle-Aquitaine
Grignols,Grignols,grignols,GRIGNOLS,Nouvelle-Aquitaine
Grives,Grives,grives,GRIVES,Nouvelle-Aquitaine
Groléjac,Groléjac,grolejac,GROLÉJAC,Nouvelle-Aquitaine
Grun-Bordas,Grun-Bordas,grun-bordas,GRUN-BORDAS,Nouvelle-Aquitaine
Hautefaye,Hautefaye,hautefaye,HAUTEFAYE,Nouvelle-Aquitaine
Hautefort,Hautefort,hautefort,HAUTEFORT,Nouvelle-Aquitaine
Issac,Issac,issac,ISSAC,Nouvelle-Aquitaine
Issigeac,Issigeac,issigeac,ISSIGEAC,Nouvelle-Aquitaine
Jaure,Jaure,jaure,JAURE,Nouvelle-Aquitaine
Javerlhac-et-la-Chapelle-Saint-Robert,Javerlhac-et-la-Chapelle-Saint-Robert,javerlhac-et-la-chapelle-saint-robert,JAVERLHAC-ET-LA-CHAPELLE-SAINT-ROBERT,Nouvelle-Aquitaine
Jayac,Jayac,jayac,JAYAC,Nouvelle-Aquitaine
La Jemaye-Ponteyraud,Jemaye-Ponteyraud,la-jemaye-ponteyraud,LA JEMAYE-PONTEYRAUD,Nouvelle-Aquitaine
Journiac,Journiac,journiac,JOURNIAC,Nouvelle-Aquitaine
Jumilhac-le-Grand,Jumilhac-le-Grand,jumilhac-le-grand,JUMILHAC-LE-GRAND,Nouvelle-Aquitaine
Lacropte,Lacropte,lacropte,LACROPTE,Nouvelle-Aquitaine
Rudeau-Ladosse,Rudeau-Ladosse,rudeau-ladosse,RUDEAU-LADOSSE,Nouvelle-Aquitaine
La Force,Force,la-force,LA FORCE,Nouvelle-Aquitaine
Lalinde,Lalinde,lalinde,LALINDE,Nouvelle-Aquitaine
Lamonzie-Montastruc,Lamonzie-Montastruc,lamonzie-montastruc,LAMONZIE-MONTASTRUC,Nouvelle-Aquitaine
Lamonzie-Saint-Martin,Lamonzie-Saint-Martin,lamonzie-saint-martin,LAMONZIE-SAINT-MARTIN,Nouvelle-Aquitaine
Lamothe-Montravel,Lamothe-Montravel,lamothe-montravel,LAMOTHE-MONTRAVEL,Nouvelle-Aquitaine
Lanouaille,Lanouaille,lanouaille,LANOUAILLE,Nouvelle-Aquitaine
Lanquais,Lanquais,lanquais,LANQUAIS,Nouvelle-Aquitaine
Le Lardin-Saint-Lazare,Lardin-Saint-Lazare,le-lardin-saint-lazare,LE LARDIN-SAINT-LAZARE,Nouvelle-Aquitaine
Larzac,Larzac,larzac,LARZAC,Nouvelle-Aquitaine
Lavalade,Lavalade,lavalade,LAVALADE,Nouvelle-Aquitaine
Lavaur,Lavaur,lavaur,LAVAUR,Nouvelle-Aquitaine
Les Lèches,Lèches,les-leches,LES LÈCHES,Nouvelle-Aquitaine
Léguillac-de-l'Auche,Léguillac-de-l'Auche,leguillac-de-l-auche,LÉGUILLAC-DE-L'AUCHE,Nouvelle-Aquitaine
Lembras,Lembras,lembras,LEMBRAS,Nouvelle-Aquitaine
Lempzours,Lempzours,lempzours,LEMPZOURS,Nouvelle-Aquitaine
Limeuil,Limeuil,limeuil,LIMEUIL,Nouvelle-Aquitaine
Limeyrat,Limeyrat,limeyrat,LIMEYRAT,Nouvelle-Aquitaine
Liorac-sur-Louyre,Liorac-sur-Louyre,liorac-sur-louyre,LIORAC-SUR-LOUYRE,Nouvelle-Aquitaine
Lisle,Lisle,lisle,LISLE,Nouvelle-Aquitaine
Lolme,Lolme,lolme,LOLME,Nouvelle-Aquitaine
Loubejac,Loubejac,loubejac,LOUBEJAC,Nouvelle-Aquitaine
Lunas,Lunas,lunas,LUNAS,Nouvelle-Aquitaine
Lusignac,Lusignac,lusignac,LUSIGNAC,Nouvelle-Aquitaine
Lussas-et-Nontronneau,Lussas-et-Nontronneau,lussas-et-nontronneau,LUSSAS-ET-NONTRONNEAU,Nouvelle-Aquitaine
Manzac-sur-Vern,Manzac-sur-Vern,manzac-sur-vern,MANZAC-SUR-VERN,Nouvelle-Aquitaine
Marcillac-Saint-Quentin,Marcillac-Saint-Quentin,marcillac-saint-quentin,MARCILLAC-SAINT-QUENTIN,Nouvelle-Aquitaine
Mareuil en Périgord,Mareuil en Périgord,mareuil-en-perigord,MAREUIL EN PÉRIGORD,Nouvelle-Aquitaine
Marnac,Marnac,marnac,MARNAC,Nouvelle-Aquitaine
Marquay,Marquay,marquay,MARQUAY,Nouvelle-Aquitaine
Marsac-sur-l'Isle,Marsac-sur-l'Isle,marsac-sur-l-isle,MARSAC-SUR-L'ISLE,Nouvelle-Aquitaine
Marsalès,Marsalès,marsales,MARSALÈS,Nouvelle-Aquitaine
Eyraud-Crempse-Maurens,Eyraud-Crempse-Maurens,eyraud-crempse-maurens,EYRAUD-CREMPSE-MAURENS,Nouvelle-Aquitaine
Mauzac-et-Grand-Castang,Mauzac-et-Grand-Castang,mauzac-et-grand-castang,MAUZAC-ET-GRAND-CASTANG,Nouvelle-Aquitaine
Mauzens-et-Miremont,Mauzens-et-Miremont,mauzens-et-miremont,MAUZENS-ET-MIREMONT,Nouvelle-Aquitaine
Mayac,Mayac,mayac,MAYAC,Nouvelle-Aquitaine
Mazeyrolles,Mazeyrolles,mazeyrolles,MAZEYROLLES,Nouvelle-Aquitaine
Ménesplet,Ménesplet,menesplet,MÉNESPLET,Nouvelle-Aquitaine
Mensignac,Mensignac,mensignac,MENSIGNAC,Nouvelle-Aquitaine
Mescoules,Mescoules,mescoules,MESCOULES,Nouvelle-Aquitaine
Meyrals,Meyrals,meyrals,MEYRALS,Nouvelle-Aquitaine
Mialet,Mialet,mialet,MIALET,Nouvelle-Aquitaine
Milhac-de-Nontron,Milhac-de-Nontron,milhac-de-nontron,MILHAC-DE-NONTRON,Nouvelle-Aquitaine
Minzac,Minzac,minzac,MINZAC,Nouvelle-Aquitaine
Molières,Molières,molieres,MOLIÈRES,Nouvelle-Aquitaine
Monbazillac,Monbazillac,monbazillac,MONBAZILLAC,Nouvelle-Aquitaine
Monestier,Monestier,monestier,MONESTIER,Nouvelle-Aquitaine
Monfaucon,Monfaucon,monfaucon,MONFAUCON,Nouvelle-Aquitaine
Monmadalès,Monmadalès,monmadales,MONMADALÈS,Nouvelle-Aquitaine
Monmarvès,Monmarvès,monmarves,MONMARVÈS,Nouvelle-Aquitaine
Monpazier,Monpazier,monpazier,MONPAZIER,Nouvelle-Aquitaine
Monsac,Monsac,monsac,MONSAC,Nouvelle-Aquitaine
Monsaguel,Monsaguel,monsaguel,MONSAGUEL,Nouvelle-Aquitaine
Montagnac-d'Auberoche,Montagnac-d'Auberoche,montagnac-d-auberoche,MONTAGNAC-D'AUBEROCHE,Nouvelle-Aquitaine
Montagnac-la-Crempse,Montagnac-la-Crempse,montagnac-la-crempse,MONTAGNAC-LA-CREMPSE,Nouvelle-Aquitaine
Montagrier,Montagrier,montagrier,MONTAGRIER,Nouvelle-Aquitaine
Montaut,Montaut,montaut,MONTAUT,Nouvelle-Aquitaine
Montazeau,Montazeau,montazeau,MONTAZEAU,Nouvelle-Aquitaine
Montcaret,Montcaret,montcaret,MONTCARET,Nouvelle-Aquitaine
Montferrand-du-Périgord,Montferrand-du-Périgord,montferrand-du-perigord,MONTFERRAND-DU-PÉRIGORD,Nouvelle-Aquitaine
Montignac-Lascaux,Montignac-Lascaux,montignac-lascaux,MONTIGNAC-LASCAUX,Nouvelle-Aquitaine
Montpeyroux,Montpeyroux,montpeyroux,MONTPEYROUX,Nouvelle-Aquitaine
Monplaisant,Monplaisant,monplaisant,MONPLAISANT,Nouvelle-Aquitaine
Montpon-Ménestérol,Montpon-Ménestérol,montpon-menesterol,MONTPON-MÉNESTÉROL,Nouvelle-Aquitaine
Montrem,Montrem,montrem,MONTREM,Nouvelle-Aquitaine
Mouleydier,Mouleydier,mouleydier,MOULEYDIER,Nouvelle-Aquitaine
Moulin-Neuf,Moulin-Neuf,moulin-neuf,MOULIN-NEUF,Nouvelle-Aquitaine
Mussidan,Mussidan,mussidan,MUSSIDAN,Nouvelle-Aquitaine
Nabirat,Nabirat,nabirat,NABIRAT,Nouvelle-Aquitaine
Nadaillac,Nadaillac,nadaillac,NADAILLAC,Nouvelle-Aquitaine
Nailhac,Nailhac,nailhac,NAILHAC,Nouvelle-Aquitaine
Nanteuil-Auriac-de-Bourzac,Nanteuil-Auriac-de-Bourzac,nanteuil-auriac-de-bourzac,NANTEUIL-AURIAC-DE-BOURZAC,Nouvelle-Aquitaine
Nantheuil,Nantheuil,nantheuil,NANTHEUIL,Nouvelle-Aquitaine
Nanthiat,Nanthiat,nanthiat,NANTHIAT,Nouvelle-Aquitaine
Nastringues,Nastringues,nastringues,NASTRINGUES,Nouvelle-Aquitaine
Naussannes,Naussannes,naussannes,NAUSSANNES,Nouvelle-Aquitaine
Négrondes,Négrondes,negrondes,NÉGRONDES,Nouvelle-Aquitaine
Neuvic,Neuvic,neuvic,NEUVIC,Nouvelle-Aquitaine
Nontron,Nontron,nontron,NONTRON,Nouvelle-Aquitaine
Sanilhac,Sanilhac,sanilhac,SANILHAC,Nouvelle-Aquitaine
Orliac,Orliac,orliac,ORLIAC,Nouvelle-Aquitaine
Parcoul-Chenaud,Parcoul-Chenaud,parcoul-chenaud,PARCOUL-CHENAUD,Nouvelle-Aquitaine
Paulin,Paulin,paulin,PAULIN,Nouvelle-Aquitaine
Paunat,Paunat,paunat,PAUNAT,Nouvelle-Aquitaine
Paussac-et-Saint-Vivien,Paussac-et-Saint-Vivien,paussac-et-saint-vivien,PAUSSAC-ET-SAINT-VIVIEN,Nouvelle-Aquitaine
Payzac,Payzac,payzac,PAYZAC,Nouvelle-Aquitaine
Pazayac,Pazayac,pazayac,PAZAYAC,Nouvelle-Aquitaine
Périgueux,Périgueux,perigueux,PÉRIGUEUX,Nouvelle-Aquitaine
Petit-Bersac,Petit-Bersac,petit-bersac,PETIT-BERSAC,Nouvelle-Aquitaine
Peyrignac,Peyrignac,peyrignac,PEYRIGNAC,Nouvelle-Aquitaine
Pechs-de-l'Espérance,Pechs-de-l'Espérance,pechs-de-l-esperance,PECHS-DE-L'ESPÉRANCE,Nouvelle-Aquitaine
Peyzac-le-Moustier,Peyzac-le-Moustier,peyzac-le-moustier,PEYZAC-LE-MOUSTIER,Nouvelle-Aquitaine
Pezuls,Pezuls,pezuls,PEZULS,Nouvelle-Aquitaine
Piégut-Pluviers,Piégut-Pluviers,piegut-pluviers,PIÉGUT-PLUVIERS,Nouvelle-Aquitaine
Le Pizou,Pizou,le-pizou,LE PIZOU,Nouvelle-Aquitaine
Plazac,Plazac,plazac,PLAZAC,Nouvelle-Aquitaine
Pomport,Pomport,pomport,POMPORT,Nouvelle-Aquitaine
Pontours,Pontours,pontours,PONTOURS,Nouvelle-Aquitaine
Port-Sainte-Foy-et-Ponchapt,Port-Sainte-Foy-et-Ponchapt,port-sainte-foy-et-ponchapt,PORT-SAINTE-FOY-ET-PONCHAPT,Nouvelle-Aquitaine
Prats-de-Carlux,Prats-de-Carlux,prats-de-carlux,PRATS-DE-CARLUX,Nouvelle-Aquitaine
Prats-du-Périgord,Prats-du-Périgord,prats-du-perigord,PRATS-DU-PÉRIGORD,Nouvelle-Aquitaine
Pressignac-Vicq,Pressignac-Vicq,pressignac-vicq,PRESSIGNAC-VICQ,Nouvelle-Aquitaine
Preyssac-d'Excideuil,Preyssac-d'Excideuil,preyssac-d-excideuil,PREYSSAC-D'EXCIDEUIL,Nouvelle-Aquitaine
Prigonrieux,Prigonrieux,prigonrieux,PRIGONRIEUX,Nouvelle-Aquitaine
Proissans,Proissans,proissans,PROISSANS,Nouvelle-Aquitaine
Queyssac,Queyssac,queyssac,QUEYSSAC,Nouvelle-Aquitaine
Quinsac,Quinsac,quinsac,QUINSAC,Nouvelle-Aquitaine
Rampieux,Rampieux,rampieux,RAMPIEUX,Nouvelle-Aquitaine
Razac-d'Eymet,Razac-d'Eymet,razac-d-eymet,RAZAC-D'EYMET,Nouvelle-Aquitaine
Razac-de-Saussignac,Razac-de-Saussignac,razac-de-saussignac,RAZAC-DE-SAUSSIGNAC,Nouvelle-Aquitaine
Razac-sur-l'Isle,Razac-sur-l'Isle,razac-sur-l-isle,RAZAC-SUR-L'ISLE,Nouvelle-Aquitaine
Ribagnac,Ribagnac,ribagnac,RIBAGNAC,Nouvelle-Aquitaine
Ribérac,Ribérac,riberac,RIBÉRAC,Nouvelle-Aquitaine
La Rochebeaucourt-et-Argentine,Rochebeaucourt-et-Argentine,la-rochebeaucourt-et-argentine,LA ROCHEBEAUCOURT-ET-ARGENTINE,Nouvelle-Aquitaine
La Roche-Chalais,Roche-Chalais,la-roche-chalais,LA ROCHE-CHALAIS,Nouvelle-Aquitaine
La Roque-Gageac,Roque-Gageac,la-roque-gageac,LA ROQUE-GAGEAC,Nouvelle-Aquitaine
Rouffignac-Saint-Cernin-de-Reilhac,Rouffignac-Saint-Cernin-de-Reilhac,rouffignac-saint-cernin-de-reilhac,ROUFFIGNAC-SAINT-CERNIN-DE-REILHAC,Nouvelle-Aquitaine
Rouffignac-de-Sigoulès,Rouffignac-de-Sigoulès,rouffignac-de-sigoules,ROUFFIGNAC-DE-SIGOULÈS,Nouvelle-Aquitaine
Sadillac,Sadillac,sadillac,SADILLAC,Nouvelle-Aquitaine
Sagelat,Sagelat,sagelat,SAGELAT,Nouvelle-Aquitaine
Saint-Agne,Saint-Agne,saint-agne,SAINT-AGNE,Nouvelle-Aquitaine
Val de Louyre et Caudeau,Val de Louyre et Caudeau,val-de-louyre-et-caudeau,VAL DE LOUYRE ET CAUDEAU,Nouvelle-Aquitaine
Coly-Saint-Amand,Coly-Saint-Amand,coly-saint-amand,COLY-SAINT-AMAND,Nouvelle-Aquitaine
Saint-Amand-de-Vergt,Saint-Amand-de-Vergt,saint-amand-de-vergt,SAINT-AMAND-DE-VERGT,Nouvelle-Aquitaine
Saint-André-d'Allas,Saint-André-d'Allas,saint-andre-d-allas,SAINT-ANDRÉ-D'ALLAS,Nouvelle-Aquitaine
Saint-André-de-Double,Saint-André-de-Double,saint-andre-de-double,SAINT-ANDRÉ-DE-DOUBLE,Nouvelle-Aquitaine
Saint-Antoine-de-Breuilh,Saint-Antoine-de-Breuilh,saint-antoine-de-breuilh,SAINT-ANTOINE-DE-BREUILH,Nouvelle-Aquitaine
Saint-Aquilin,Saint-Aquilin,saint-aquilin,SAINT-AQUILIN,Nouvelle-Aquitaine
Saint-Astier,Saint-Astier,saint-astier,SAINT-ASTIER,Nouvelle-Aquitaine
Saint-Aubin-de-Cadelech,Saint-Aubin-de-Cadelech,saint-aubin-de-cadelech,SAINT-AUBIN-DE-CADELECH,Nouvelle-Aquitaine
Saint-Aubin-de-Lanquais,Saint-Aubin-de-Lanquais,saint-aubin-de-lanquais,SAINT-AUBIN-DE-LANQUAIS,Nouvelle-Aquitaine
Saint-Aubin-de-Nabirat,Saint-Aubin-de-Nabirat,saint-aubin-de-nabirat,SAINT-AUBIN-DE-NABIRAT,Nouvelle-Aquitaine
Saint Aulaye-Puymangou,Saint Aulaye-Puymangou,saint-aulaye-puymangou,SAINT AULAYE-PUYMANGOU,Nouvelle-Aquitaine
Saint-Avit-de-Vialard,Saint-Avit-de-Vialard,saint-avit-de-vialard,SAINT-AVIT-DE-VIALARD,Nouvelle-Aquitaine
Saint-Avit-Rivière,Saint-Avit-Rivière,saint-avit-riviere,SAINT-AVIT-RIVIÈRE,Nouvelle-Aquitaine
Saint-Avit-Sénieur,Saint-Avit-Sénieur,saint-avit-senieur,SAINT-AVIT-SÉNIEUR,Nouvelle-Aquitaine
Saint-Barthélemy-de-Bellegarde,Saint-Barthélemy-de-Bellegarde,saint-barthelemy-de-bellegarde,SAINT-BARTHÉLEMY-DE-BELLEGARDE,Nouvelle-Aquitaine
Saint-Barthélemy-de-Bussière,Saint-Barthélemy-de-Bussière,saint-barthelemy-de-bussiere,SAINT-BARTHÉLEMY-DE-BUSSIÈRE,Nouvelle-Aquitaine
Saint-Capraise-de-Lalinde,Saint-Capraise-de-Lalinde,saint-capraise-de-lalinde,SAINT-CAPRAISE-DE-LALINDE,Nouvelle-Aquitaine
Saint-Capraise-d'Eymet,Saint-Capraise-d'Eymet,saint-capraise-d-eymet,SAINT-CAPRAISE-D'EYMET,Nouvelle-Aquitaine
Saint-Cassien,Saint-Cassien,saint-cassien,SAINT-CASSIEN,Nouvelle-Aquitaine
Saint-Cernin-de-Labarde,Saint-Cernin-de-Labarde,saint-cernin-de-labarde,SAINT-CERNIN-DE-LABARDE,Nouvelle-Aquitaine
Saint-Cernin-de-l'Herm,Saint-Cernin-de-l'Herm,saint-cernin-de-l-herm,SAINT-CERNIN-DE-L'HERM,Nouvelle-Aquitaine
Saint-Chamassy,Saint-Chamassy,saint-chamassy,SAINT-CHAMASSY,Nouvelle-Aquitaine
Saint-Crépin-d'Auberoche,Saint-Crépin-d'Auberoche,saint-crepin-d-auberoche,SAINT-CRÉPIN-D'AUBEROCHE,Nouvelle-Aquitaine
Saint-Crépin-et-Carlucet,Saint-Crépin-et-Carlucet,saint-crepin-et-carlucet,SAINT-CRÉPIN-ET-CARLUCET,Nouvelle-Aquitaine
Sainte-Croix,Sainte-Croix,sainte-croix,SAINTE-CROIX,Nouvelle-Aquitaine
Sainte-Croix-de-Mareuil,Sainte-Croix-de-Mareuil,sainte-croix-de-mareuil,SAINTE-CROIX-DE-MAREUIL,Nouvelle-Aquitaine
Saint-Cybranet,Saint-Cybranet,saint-cybranet,SAINT-CYBRANET,Nouvelle-Aquitaine
Saint-Cyprien,Saint-Cyprien,saint-cyprien,SAINT-CYPRIEN,Nouvelle-Aquitaine
Saint-Cyr-les-Champagnes,Saint-Cyr-les-Champagnes,saint-cyr-les-champagnes,SAINT-CYR-LES-CHAMPAGNES,Nouvelle-Aquitaine
Saint-Estèphe,Saint-Estèphe,saint-estephe,SAINT-ESTÈPHE,Nouvelle-Aquitaine
Saint-Étienne-de-Puycorbier,Saint-Étienne-de-Puycorbier,saint-etienne-de-puycorbier,SAINT-ÉTIENNE-DE-PUYCORBIER,Nouvelle-Aquitaine
Sainte-Eulalie-d'Ans,Sainte-Eulalie-d'Ans,sainte-eulalie-d-ans,SAINTE-EULALIE-D'ANS,Nouvelle-Aquitaine
Saint-Félix-de-Bourdeilles,Saint-Félix-de-Bourdeilles,saint-felix-de-bourdeilles,SAINT-FÉLIX-DE-BOURDEILLES,Nouvelle-Aquitaine
Saint-Félix-de-Reillac-et-Mortemart,Saint-Félix-de-Reillac-et-Mortemart,saint-felix-de-reillac-et-mortemart,SAINT-FÉLIX-DE-REILLAC-ET-MORTEMART,Nouvelle-Aquitaine
Saint-Félix-de-Villadeix,Saint-Félix-de-Villadeix,saint-felix-de-villadeix,SAINT-FÉLIX-DE-VILLADEIX,Nouvelle-Aquitaine
Sainte-Foy-de-Belvès,Sainte-Foy-de-Belvès,sainte-foy-de-belves,SAINTE-FOY-DE-BELVÈS,Nouvelle-Aquitaine
Sainte-Foy-de-Longas,Sainte-Foy-de-Longas,sainte-foy-de-longas,SAINTE-FOY-DE-LONGAS,Nouvelle-Aquitaine
Saint-Front-d'Alemps,Saint-Front-d'Alemps,saint-front-d-alemps,SAINT-FRONT-D'ALEMPS,Nouvelle-Aquitaine
Saint-Front-de-Pradoux,Saint-Front-de-Pradoux,saint-front-de-pradoux,SAINT-FRONT-DE-PRADOUX,Nouvelle-Aquitaine
Saint-Front-la-Rivière,Saint-Front-la-Rivière,saint-front-la-riviere,SAINT-FRONT-LA-RIVIÈRE,Nouvelle-Aquitaine
Saint-Front-sur-Nizonne,Saint-Front-sur-Nizonne,saint-front-sur-nizonne,SAINT-FRONT-SUR-NIZONNE,Nouvelle-Aquitaine
Saint-Geniès,Saint-Geniès,saint-genies,SAINT-GENIÈS,Nouvelle-Aquitaine
Saint-Georges-Blancaneix,Saint-Georges-Blancaneix,saint-georges-blancaneix,SAINT-GEORGES-BLANCANEIX,Nouvelle-Aquitaine
Saint-Georges-de-Montclard,Saint-Georges-de-Montclard,saint-georges-de-montclard,SAINT-GEORGES-DE-MONTCLARD,Nouvelle-Aquitaine
Saint-Géraud-de-Corps,Saint-Géraud-de-Corps,saint-geraud-de-corps,SAINT-GÉRAUD-DE-CORPS,Nouvelle-Aquitaine
